,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,calmar,mdd,var_95pct,cvar_95pct,hit_rate,ret_total
GLOBAL 2021–2025 [ppo_augmented],250.0000,0.1191,0.1345,0.8362,1.1986,0.7898,-0.1508,-0.0287,-0.0429,0.6000,0.7472
Régimen Low (VIX <20) [ppo_augmented],161.0000,0.1407,0.1120,1.1754,1.7583,1.4485,-0.0971,-0.0273,-0.0337,0.6025,0.5228
Régimen Moderate (VIX 20-30) [ppo_augmented],76.0000,0.0768,0.1598,0.4629,0.6104,0.5675,-0.1353,-0.0363,-0.0567,0.6184,0.1180
Régimen Stress (VIX >30) [ppo_augmented],13.0000,0.1054,0.2073,0.4831,0.8451,1.0803,-0.0975,-0.0322,-0.0435,0.4615,0.0262
2021 [ppo_augmented],50.0000,0.0705,0.1011,0.6741,0.8593,1.4111,-0.0500,-0.0287,-0.0359,0.6400,0.0699
2022 [ppo_augmented],50.0000,-0.0164,0.1562,-0.1056,-0.1445,-0.1085,-0.1508,-0.0372,-0.0457,0.5400,-0.0162
2023 [ppo_augmented],50.0000,0.1713,0.1324,1.1938,1.9172,1.7629,-0.0971,-0.0222,-0.0354,0.5000,0.1698
2024 [ppo_augmented],50.0000,0.0726,0.1093,0.6411,0.9092,0.8793,-0.0825,-0.0278,-0.0309,0.6400,0.0720
2025 [ppo_augmented],50.0000,0.3267,0.1593,1.7748,2.5814,3.6478,-0.0896,-0.0234,-0.0521,0.6800,0.3237
Rusia-Ucrania (feb-dic 2022) [ppo_augmented],43.0000,-0.0399,0.1577,-0.2581,-0.3542,-0.2645,-0.1508,-0.0349,-0.0448,0.5116,-0.0341
Crisis bancaria (mar-may 2023) [ppo_augmented],11.0000,0.3195,0.0799,3.4696,10.9974,13.6876,-0.0233,-0.0072,-0.0076,0.5455,0.0624
GLOBAL [ppo_baseline],250.0000,0.1191,0.1345,0.8362,1.1986,0.7898,-0.1508,-0.0287,-0.0429,0.6000,0.7472
Régimen low [ppo_baseline],161.0000,0.1407,0.1120,1.1754,1.7583,1.4485,-0.0971,-0.0273,-0.0337,0.6025,0.5228
Régimen moderate [ppo_baseline],76.0000,0.0768,0.1598,0.4629,0.6104,0.5675,-0.1353,-0.0363,-0.0567,0.6184,0.1180
Régimen stress [ppo_baseline],13.0000,0.1054,0.2073,0.4831,0.8451,1.0803,-0.0975,-0.0322,-0.0435,0.4615,0.0262
2021 [ppo_baseline],50.0000,0.0705,0.1011,0.6741,0.8593,1.4111,-0.0500,-0.0287,-0.0359,0.6400,0.0699
2022 [ppo_baseline],50.0000,-0.0164,0.1562,-0.1056,-0.1445,-0.1085,-0.1508,-0.0372,-0.0457,0.5400,-0.0162
2023 [ppo_baseline],50.0000,0.1713,0.1324,1.1938,1.9172,1.7629,-0.0971,-0.0222,-0.0354,0.5000,0.1698
2024 [ppo_baseline],50.0000,0.0726,0.1093,0.6411,0.9092,0.8793,-0.0825,-0.0278,-0.0309,0.6400,0.0720
2025 [ppo_baseline],50.0000,0.3267,0.1593,1.7748,2.5814,3.6478,-0.0896,-0.0234,-0.0521,0.6800,0.3237
Rusia-Ucrania (feb-dic 2022) [ppo_baseline],43.0000,-0.0399,0.1577,-0.2581,-0.3542,-0.2645,-0.1508,-0.0349,-0.0448,0.5116,-0.0341
Crisis bancaria (mar-may 2023) [ppo_baseline],11.0000,0.3195,0.0799,3.4696,10.9974,13.6876,-0.0233,-0.0072,-0.0076,0.5455,0.0624
